Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
Mid Island,"Mid Island, Staten Island, NY, USA",40.6113055,-74.1412244,,,ChIJZ9JYMDdMwokRyg2biwaN5ak,"neighborhood, political",POINT (-74.1412244 40.6113055),Westerleigh,Staten Island,,
Clove Lakes Park,"1150 Clove Rd, Staten Island, NY 10301, United States",40.6186608,-74.11163979999999,4.6,3174.0,ChIJVyxpXXtOwokRTOzLFbXy-II,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.11163979999999 40.6186608),Castleton Corners,Staten Island,4.545212101381137,0.6686204380129307
Silver Lake Park,"Victory Blvd. &, Silver Lake Park Rd, Staten Island, NY 10301, United States",40.6273123,-74.0922851,4.6,1760.0,ChIJKxhR-EJOwokR2BG8WGpYJZE,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.0922851 40.6273123),Silver Lake,Staten Island,4.509044926475874,0.6386337310798881
Ingram Woods,"Purdy Ave &, Ingram Ave, Staten Island, NY 10314, United States",40.6089163,-74.13684169999999,4.0,47.0,ChIJr-PWDzBMwokRkf14IS1GgVI,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.13684169999999 40.6089163),Castleton Corners,Staten Island,4.0801264161103115,0.28301143815322066
Westerleigh Park,"Willard Ave. &, Woodbridge Pl, Staten Island, NY 10314, United States",40.6197065,-74.1344668,4.6,247.0,ChIJFw8Jk9JNwokRekX-TuPhr8c,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1344668 40.6197065),Westerleigh,Staten Island,4.290261100971897,0.4572370233120642
Northerleigh Park,"North Ave, Staten Island, NY 10302, United States",40.6227472,-74.13390559999999,4.4,79.0,ChIJPWU6ItJNwokRKq2F6ycj1rQ,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.13390559999999 40.6227472),Westerleigh,Staten Island,4.143111133430203,0.3352329418918857
Graniteville Quarry Park,"2134, 1890 Forest Ave, Staten Island, NY 10303, United States",40.6247806,-74.1539067,3.6,25.0,ChIJf8cG8rNNwokRRkux7SJsHNc,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.1539067 40.6247806),Graniteville,Staten Island,4.059887549167871,0.2662311125333864
Castleton Corners,"Castleton Corners, Staten Island, NY, USA",40.6130802,-74.1225608,,,ChIJEx97R9VNwokReFT9P9p08FQ,"neighborhood, political",POINT (-74.1225608 40.6130802),Castleton Corners,Staten Island,,
Staten Island Hindu Temple - Shree Ram Mandir,"1318 Victory Blvd, Staten Island, NY 10314, United States",40.6148308,-74.10733859999999,4.8,50.0,ChIJ1SQfD2JOwokRBxku33mYuU8,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",POINT (-74.10733859999999 40.6148308),Castleton Corners,Staten Island,4.172162575257693,0.35931989572074335
Markham Playground,"Willow Rd E, Staten Island, NY 10302, United States",40.6233382,-74.14583309999999,3.8,62.0,ChIJ2wXNaspNwokRXGV1CMhrE6Y,"park, point_of_interest, establishment",POINT (-74.14583309999999 40.6233382),Graniteville,Staten Island,4.049491514665143,0.2576116159673514
